symbol,regime,rows,start,end,status,file
BTCUSDT,bull_2020_q4_2021_q1,56629,2020-10-01 00:00,2021-04-15 23:55,OK,BTCUSDT_bull_2020_q4_2021_q1_5m.csv.gz
BTCUSDT,midcycle_correction_2021,30730,2021-04-16 00:00,2021-07-31 23:55,OK,BTCUSDT_midcycle_correction_2021_5m.csv.gz
BTCUSDT,late_bull_2021_ath,30738,2021-08-01 00:00,2021-11-15 23:55,OK,BTCUSDT_late_bull_2021_ath_5m.csv.gz
BTCUSDT,bear_2022_pre_ftx,61632,2022-04-01 00:00,2022-10-31 23:55,OK,BTCUSDT_bear_2022_pre_ftx_5m.csv.gz
BTCUSDT,ftx_crash_2022,12960,2022-11-01 00:00,2022-12-15 23:55,OK,BTCUSDT_ftx_crash_2022_5m.csv.gz
BTCUSDT,recovery_2023_h1,52112,2023-01-01 00:00,2023-06-30 23:55,OK,BTCUSDT_recovery_2023_h1_5m.csv.gz
BTCUSDT,range_2023_h2,52992,2023-07-01 00:00,2023-12-31 23:55,OK,BTCUSDT_range_2023_h2_5m.csv.gz
BTCUSDT,etf_breakout_2024_q1,26208,2024-01-01 00:00,2024-03-31 23:55,OK,BTCUSDT_etf_breakout_2024_q1_5m.csv.gz
BTCUSDT,post_ath_pullback_2024_q2,26208,2024-04-01 00:00,2024-06-30 23:55,OK,BTCUSDT_post_ath_pullback_2024_q2_5m.csv.gz
BTCUSDT,current_times,96192,2025-04-01 00:00,2026-02-28 23:55,OK,BTCUSDT_current_times_5m.csv.gz
ETHUSDT,bull_2020_q4_2021_q1,56629,2020-10-01 00:00,2021-04-15 23:55,OK,ETHUSDT_bull_2020_q4_2021_q1_5m.csv.gz
ETHUSDT,midcycle_correction_2021,30730,2021-04-16 00:00,2021-07-31 23:55,OK,ETHUSDT_midcycle_correction_2021_5m.csv.gz
ETHUSDT,late_bull_2021_ath,30738,2021-08-01 00:00,2021-11-15 23:55,OK,ETHUSDT_late_bull_2021_ath_5m.csv.gz
ETHUSDT,bear_2022_pre_ftx,61632,2022-04-01 00:00,2022-10-31 23:55,OK,ETHUSDT_bear_2022_pre_ftx_5m.csv.gz
ETHUSDT,ftx_crash_2022,12960,2022-11-01 00:00,2022-12-15 23:55,OK,ETHUSDT_ftx_crash_2022_5m.csv.gz
ETHUSDT,recovery_2023_h1,52112,2023-01-01 00:00,2023-06-30 23:55,OK,ETHUSDT_recovery_2023_h1_5m.csv.gz
ETHUSDT,range_2023_h2,52992,2023-07-01 00:00,2023-12-31 23:55,OK,ETHUSDT_range_2023_h2_5m.csv.gz
ETHUSDT,etf_breakout_2024_q1,26208,2024-01-01 00:00,2024-03-31 23:55,OK,ETHUSDT_etf_breakout_2024_q1_5m.csv.gz
ETHUSDT,post_ath_pullback_2024_q2,26208,2024-04-01 00:00,2024-06-30 23:55,OK,ETHUSDT_post_ath_pullback_2024_q2_5m.csv.gz
ETHUSDT,current_times,96192,2025-04-01 00:00,2026-02-28 23:55,OK,ETHUSDT_current_times_5m.csv.gz
SOLUSDT,bull_2020_q4_2021_q1,56629,2020-10-01 00:00,2021-04-15 23:55,OK,SOLUSDT_bull_2020_q4_2021_q1_5m.csv.gz
