symbol,entry_time,exit_time,direction,entry,stop,target,exit,R,pnl_usd,notional_usd,risk_usd,leverage_used,equity_after,exit_reason
SOLANA,2025-03-13 19:26:45.594739,2025-03-13 19:31:45.594739,short,114.581389,116.342961,109.296672,116.342961,-1.0,-10.0,650.45,10.0,0.07,9990.0,stop
SOLANA,2025-03-13 20:56:45.594739,2025-03-13 21:01:45.594739,short,149.595399,150.792859,146.00302,146.00302,3.0,29.97,1248.02,9.99,0.12,10019.97,target
SOLANA,2025-03-13 21:51:45.594739,2025-03-13 21:56:45.594739,short,146.560769,150.751828,133.987592,150.751828,-1.0,-10.02,350.4,10.02,0.03,10009.95,stop
SOLANA,2025-03-14 04:56:45.594739,2025-03-14 05:01:45.594739,short,116.744705,119.822752,107.510564,107.510564,3.0,30.0299,379.66,10.01,0.04,10039.9799,target
SOLANA,2025-03-14 10:41:45.594739,2025-03-14 10:46:45.594739,short,109.961165,110.759081,107.567417,110.759081,-1.0,-10.04,1383.61,10.04,0.14,10029.9399,stop
SOLANA,2025-03-14 14:36:45.594739,2025-03-14 14:51:45.594739,long,152.208392,148.984463,161.88018,148.984463,-1.0,-10.0299,473.53,10.0299,0.05,10019.91,stop
SOLANA,2025-03-14 15:56:45.594739,2025-03-14 16:11:45.594739,long,140.230097,140.230097,147.561307,140.230097,0.0,0.0,574.98,10.0199,0.06,10019.91,stop
SOLANA,2025-03-15 01:01:45.594739,2025-03-15 01:06:45.594739,short,40.280012,40.893349,38.440001,40.893349,-1.0,-10.0199,658.04,10.0199,0.07,10009.8901,stop
SOLANA,2025-03-15 01:56:45.594739,2025-03-15 02:06:45.594739,short,62.056262,62.056262,56.823359,56.823359,2.25,30.0297,356.12,10.0099,0.04,10039.9197,target
SOLANA,2025-03-15 04:01:45.594739,2025-03-15 04:11:45.594739,short,44.67029,45.943182,40.851614,45.943182,-1.0,-10.0399,352.34,10.0399,0.04,10029.8798,stop
SOLANA,2025-03-15 04:51:45.594739,2025-03-15 05:06:45.594739,short,53.243785,53.243785,49.029861,49.029861,2.25,30.0896,380.19,10.0299,0.04,10059.9694,target
SOLANA,2025-03-15 13:36:45.594739,2025-03-15 13:41:45.594739,long,62.978035,62.283621,65.061276,65.061276,3.0,30.1799,912.36,10.06,0.09,10090.1493,target
SOLANA,2025-03-15 21:16:45.594739,2025-03-15 21:21:45.594739,short,52.331869,53.182679,49.77944,49.77944,3.0,30.2704,620.63,10.0901,0.06,10120.4198,target
SOLANA,2025-03-16 23:11:45.594739,2025-03-16 23:16:45.594739,long,100.573269,98.355457,107.226707,107.226707,3.0,30.3613,458.94,10.1204,0.05,10150.7811,target
SOLANA,2025-03-16 23:46:45.594739,2025-03-16 23:51:45.594739,long,98.888104,97.33859,103.536649,97.33859,-1.0,-10.1508,647.81,10.1508,0.06,10140.6303,stop
SOLANA,2025-03-16 23:56:45.594739,2025-03-17 00:26:45.594739,long,99.103276,96.461095,107.029819,96.461095,-1.0,-10.1406,380.36,10.1406,0.04,10130.4896,stop
SOLANA,2025-03-17 04:41:45.594739,2025-03-17 04:46:45.594739,long,155.49088,151.898066,166.269324,151.898066,-1.0,-10.1305,438.43,10.1305,0.04,10120.3592,stop
SOLANA,2025-03-17 06:06:45.594739,2025-03-17 06:21:45.594739,long,128.084068,131.486249,139.003763,131.486249,0.9347,9.4594,356.12,10.1204,0.04,10129.8186,stop
SOLANA,2025-03-17 12:11:45.594739,2025-03-17 12:26:45.594739,long,176.237597,176.237597,187.681133,187.681133,2.25,30.3895,468.02,10.1298,0.05,10160.208,target
SOLANA,2025-03-17 14:11:45.594739,2025-03-17 14:26:45.594739,long,155.919809,153.902108,161.972911,153.902108,-1.0,-10.1602,785.14,10.1602,0.08,10150.0478,stop
SOLANA,2025-03-17 17:21:45.594739,2025-03-17 17:41:45.594739,long,161.963077,157.569668,175.143305,157.569668,-1.0,-10.15,374.18,10.15,0.04,10139.8978,stop
SOLANA,2025-03-18 01:01:45.594739,2025-03-18 01:06:45.594739,short,84.065964,85.641569,79.339149,85.641569,-1.0,-10.1399,541.01,10.1399,0.05,10129.7579,stop
SOLANA,2025-03-18 01:41:45.594739,2025-03-18 01:46:45.594739,short,93.450178,94.882841,89.15219,89.15219,3.0,30.3893,660.75,10.1298,0.07,10160.1471,target
SOLANA,2025-03-18 08:56:45.594739,2025-03-18 09:11:45.594739,short,79.93324,81.975211,73.807327,81.975211,-1.0,-10.1601,397.72,10.1601,0.04,10149.987,stop
SOLANA,2025-03-18 15:46:45.594739,2025-03-18 15:51:45.594739,long,151.015501,146.860971,163.479088,146.860971,-1.0,-10.15,368.95,10.15,0.04,10139.837,stop
SOLANA,2025-03-18 16:16:45.594739,2025-03-18 16:36:45.594739,long,135.551865,132.45952,144.828899,144.828899,3.0,30.4195,444.48,10.1398,0.04,10170.2565,target
SOLANA,2025-03-18 16:51:45.594739,2025-03-18 16:56:45.594739,long,128.836044,126.236799,136.633778,126.236799,-1.0,-10.1703,504.11,10.1703,0.05,10160.0863,stop
SOLANA,2025-03-18 18:46:45.594739,2025-03-18 18:56:45.594739,long,147.517246,147.517246,159.001985,159.001985,2.25,30.4803,391.51,10.1601,0.04,10190.5665,target
SOLANA,2025-03-18 22:46:45.594739,2025-03-18 22:51:45.594739,long,169.445167,165.634755,180.876404,165.634755,-1.0,-10.1906,453.16,10.1906,0.04,10180.376,stop
SOLANA,2025-03-18 22:56:45.594739,2025-03-18 23:01:45.594739,long,166.547848,163.367491,176.088916,176.088916,3.0,30.5411,533.12,10.1804,0.05,10210.9171,target
SOLANA,2025-03-18 23:36:45.594739,2025-03-18 23:41:45.594739,long,148.67074,145.34636,158.643878,145.34636,-1.0,-10.2109,456.65,10.2109,0.04,10200.7062,stop
SOLANA,2025-03-19 02:46:45.594739,2025-03-19 02:51:45.594739,short,152.661773,153.981512,148.702559,148.702559,3.0,30.6021,1179.97,10.2007,0.12,10231.3083,target
SOLANA,2025-03-19 16:31:45.594739,2025-03-19 16:36:45.594739,short,88.575106,90.859926,81.720644,90.859926,-1.0,-10.2313,396.63,10.2313,0.04,10221.077,stop
SOLANA,2025-03-20 07:21:45.594739,2025-03-20 07:31:45.594739,long,135.517764,132.912474,143.333634,132.912474,-1.0,-10.2211,531.66,10.2211,0.05,10210.8559,stop
SOLANA,2025-03-20 08:46:45.594739,2025-03-20 09:06:45.594739,long,148.165184,148.165184,160.605718,148.165184,0.0,0.0,364.83,10.2109,0.04,10210.8559,stop
