regime,datasets,passed,failed,avg_roi_pct,median_roi_pct,avg_max_drawdown_pct,avg_win_rate,total_trades
current_times,13,11,2,65.90382584623845,72.12210548853524,-7.890101072694201,51.570065660854475,131490
bull_2020_q4_2021_q1,12,11,1,54.222475037213286,50.420143463762734,-7.702519368379552,51.67621963734214,77580
bear_2022_pre_ftx,13,7,6,29.919770126865902,16.75768081894329,-8.822193335074816,50.468059411080546,66008
midcycle_correction_2021,12,10,2,29.561274536957825,32.69320059163706,-6.751253656605983,51.47302789680388,43727
recovery_2023_h1,14,11,3,19.445161088932064,17.98540368997247,-8.123902726740685,50.45127612754694,80059
range_2023_h2,14,9,5,18.41276362478939,14.169113394274259,-8.032063331765075,51.25300718026905,70788
post_ath_pullback_2024_q2,14,11,3,13.820475192806368,14.330781920051571,-6.419399233055572,51.61550746944606,37702
late_bull_2021_ath,12,6,6,13.281517347290581,15.019179888824162,-8.664509433550288,50.81973190416494,36497
etf_breakout_2024_q1,14,13,1,11.400474641256809,9.68009571022308,-6.325169038627116,51.32138387632673,39975
ftx_crash_2022,13,13,0,8.783394403647254,9.929160365637335,-5.728797801342292,50.73905670175188,21290
