binance_symbol,friendly,regime,final_equity,peak_equity,max_drawdown_pct,failed,pass_status,fail_reason,fail_time,halt_equity,total_trades,win_rate,avg_r,net_r,profit_factor,roi_pct,calmar,avg_notional_usd,avg_leverage_used,long_count,short_count,source_file
ADAUSDT,ADA,bear_2022_pre_ftx,11000.93482323697,12257.019199228662,-10.24787801646535,True,FAILED,max_drawdown_breach,2022-05-29 09:40:00+00:00,11000.93482323697,2121,50.730787364450734,0.21426501650165014,454.45609999999994,1.8976878699493018,10.009348232369696,0.9767239828857832,5064.547020273456,0.7085609618104668,911,1210,ADAUSDT_bear_2022_pre_ftx_5m.csv.gz
ADAUSDT,ADA,late_bull_2021_ath,9833.766719277735,10942.901932143208,-10.13565889325524,True,FAILED,max_drawdown_breach,2021-10-14 16:35:00+00:00,9833.766719277735,2515,50.0596421471173,0.18273936381709743,459.58950000000004,1.7380682661294724,-1.662332807222644,-0.16400836144247524,4489.72626640159,0.6669139165009941,1115,1400,ADAUSDT_late_bull_2021_ath_5m.csv.gz
ADAUSDT,ADA,post_ath_pullback_2024_q2,9457.349241343409,10509.348895157478,-10.010131591490056,True,FAILED,max_drawdown_breach,2024-05-27 18:40:00+00:00,9457.349241343409,1835,49.155313351498634,0.1560584741144414,286.3673,1.5688913972765586,-5.42650758656591,-0.5421015235383282,5445.558032697548,0.824932970027248,707,1128,ADAUSDT_post_ath_pullback_2024_q2_5m.csv.gz
ALGOUSDT,ALGO,late_bull_2021_ath,10359.611376467237,11532.489302511187,-10.170206061136833,True,FAILED,max_drawdown_breach,2021-09-04 18:20:00+00:00,10359.611376467237,1021,51.90989226248776,0.20515935357492654,209.4677,1.7758062962962962,3.5961137646723706,0.35359300913421166,4241.646385896181,0.5902669931439765,543,478,ALGOUSDT_late_bull_2021_ath_5m.csv.gz
ALGOUSDT,ALGO,recovery_2023_h1,10183.716412821323,11336.14041663428,-10.165929156293164,True,FAILED,max_drawdown_breach,2023-06-14 20:30:00+00:00,10183.716412821323,5334,50.39370078740157,0.18780459317585305,1001.7497000000001,1.7252314823026453,1.83716412821322,0.18071777797860547,5869.724092613423,0.8413285339332582,2302,3032,ALGOUSDT_recovery_2023_h1_5m.csv.gz
APTUSDT,APT,range_2023_h2,9977.674505348716,11504.795814900128,-13.273780205413132,True,FAILED,max_drawdown_breach,2023-08-09 12:30:00+00:00,9977.674505348716,1142,50.0875656742557,0.18217775831873903,208.04699999999997,1.6754772727272729,-0.22325494651284084,-0.01681924388214565,5824.7023380035025,0.8761693520140106,493,649,APTUSDT_range_2023_h2_5m.csv.gz
APTUSDT,APT,post_ath_pullback_2024_q2,9757.244339097393,10854.136838733672,-10.10575521511714,True,FAILED,max_drawdown_breach,2024-06-08 00:35:00+00:00,9757.244339097393,2203,49.387199273717656,0.17038597367226513,375.36030000000005,1.7169858425207258,-2.4275566090260714,-0.24021525926085202,4785.869387199274,0.7199095778483886,964,1239,APTUSDT_post_ath_pullback_2024_q2_5m.csv.gz
ATOMUSDT,ATOM,bear_2022_pre_ftx,10365.557273974358,11530.053863863144,-10.099663051345198,True,FAILED,max_drawdown_breach,2022-07-26 04:55:00+00:00,10365.557273974358,3817,49.85590778097983,0.1802078595755829,687.8534,1.7094940322238765,3.6555727397435733,0.3619499701286251,4176.7712601519515,0.5919354990830495,1755,2062,ATOMUSDT_bear_2022_pre_ftx_5m.csv.gz
ATOMUSDT,ATOM,range_2023_h2,10337.176518163824,11486.713892300522,-10.007539013461686,True,FAILED,max_drawdown_breach,2023-10-14 14:20:00+00:00,10337.176518163824,3278,50.884685784014636,0.19739826113483833,647.0715,1.7624787601839171,3.371765181638242,0.3369225118286021,6630.791513117754,0.9482964917632702,1387,1891,ATOMUSDT_range_2023_h2_5m.csv.gz
AVAXUSDT,AVAX,late_bull_2021_ath,12151.865348124169,13504.006118471098,-10.012886238976437,True,FAILED,max_drawdown_breach,2021-10-16 05:10:00+00:00,12151.865348124169,2624,50.99085365853659,0.21218788109756095,556.781,1.9302782141390409,21.51865348124169,2.1490959716967106,3347.6914481707313,0.44547709603658536,1259,1365,AVAXUSDT_late_bull_2021_ath_5m.csv.gz
